,ID,What environment did you use for the hackathon?,In what capacity did you participate?,Were you able to join any of the below technical training? ,"Before I participated in the hackathon, I would rate my skills on cloud tooling as ","After I participated in the hackathon, I would rate my skills on cloud tooling as ","Before I participated in the hackathon, I would rate my skills on GenAI models as ","After I participated in the hackathon, I would rate my skills on GenAI models as ",To what extent do your learnings from the hackathon feel relevant for your day to day work?,comments,answer
74,75,GCP,3-day hackathon,Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
75,76,Neither - I didn't hack,Technical learning session(s) only,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
76,77,GCP,3-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"I loved the hackathon and learned a lot! However I wasn't able to join much of the learning sessions before the actual hackathon, and I feel like these would have been very enriching. A lot of the live workshops/mentor sessions clashed with busy periods around EOFY deadlines, or weren't as accessible from the UK timezone.",Accessibility and Inclusion
77,78,Neither - I didn't hack,1-day hackathon,Neither;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,"I didn't participate in the hacking, but was 1) country rep for UK, 2) commercial mentor, 3) marked submissions, 4) reviewed confluence material
Overall feedback...
- There was a lot of efforts to make it inclusive of different locations and timezones which was really appreciated. Still I know some people who getting up very early to present on the Friday though (e.g. multiple presentations at 7am to Greg). Catching up on recordings not always easy to find links to
- Biggest issue I heard was time commitment required which meant some didnt end up participating, or it was a stressful week. I noticed that teams where the Leaders really leaned in (encouraged teams to participate, reshuffled/paused other work) typically had better participation & engagement, less stress, as well as stronger submissions. 
- Commercial mentor role was limited - didnt have people show up to the sessions
- From marking it didnt seem like responses were truly ""generative AI"", more so modelling or automation
- For non-technical people I know there were a few who were keen to participate but not sure how, so I had a few discussions on this, but could make this clearer in comms

Overall AC has had a HUGE effort and I know many people greatly appreciated participating!",Time Commitment / Workload
78,79,GCP,3-day hackathon,Neither;,3. Advanced -  I can design and implement valuable and scalable architectures with cloud service ,3. Advanced -  I can design and implement valuable and scalable architectures with cloud service ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
79,80,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,More notice needed ahead of all the key steps,
80,81,GCP,3-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"It was a fantastic experience. I loved being able to think through business applications and work directly on code and models with my team. The inclusion of the cloud services simplified setup and tooling. Only critique is that some of communications were a bit difficult to interpret (e.g., definition of boost round, what deliverables were required for different cohorts, etc.).  ",Communication and Information Sharing
81,82,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
82,83,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
83,84,GCP,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
84,85,GCP,3-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
85,86,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
86,87,GCP,3-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,felt like the first real hackathon the US had,Accessibility and Inclusion
87,1,GCP,3-day,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,It was fun to have a low-pressure learning event. I didn't find the learning materials as beneficial as the time with a team to sit down and work through problems,Team Formation and Dynamics
88,2,Azure,1-day,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"Technical sessions to help give context, company wide enthusiasm, ease of environment creation, access to help such as slack channels, mentors etc ",Support from Leadership / Mentors
89,3,Azure,1-day,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,,"Great learning resources, get to meet new people, collaborative working.",Accessibility and Inclusion
90,4,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"Great event, loads of learning, time commitment required",Time Commitment / Workload
91,5,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"I felt a bit out of my depth in it all, so much information at such little time.",Time Commitment / Workload
92,6,GCP,3-day,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"- Availability of learning sessions
- availability of mentor sessions
- commitment and investment from a wide variety of stakeholders 
- opportunity to meet and work with people I haven't worked with before
- Opportunity to learn and experiment with the latest advancements in data science and machine learning",
93,7,GCP,1-day,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"fun, hands on L&D, professional development outside of normal project, feel re-energised about work",Accessibility and Inclusion
94,8,GCP,3-day,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,,,
95,9,GCP,1-day,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,,
96,10,GCP,1-day,Neither;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"While the content of and opportunity provided by the hackathon was very interesting, the organisation and structure of the hackathon felt below the level it needed to be. It felt as though I had to put additional effort in understanding how the hackathon was going to work and what I had to be involved in or otherwise. In combination with the hackathon happening in parallel with regular work, I prioritised my regular work despite wanting to get involved with the hackathon.",Time Commitment / Workload
97,11,GCP,1-day,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,Learning resources were valuable and participating on the day itself was fun - it was a great way to try something new and enhance my knowledge of GCP + GenAI,Technical Learning Resources
98,12,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"It was a great experience to be given time to experiment and play around with LLMs and GenAI tools; the resourcing especially was very comprehensive. 
This helps especially in roles where there isn't much usage of cloud tools like GCP, and was a great opportunity to upskill ourselves.
It was also great to work together as a team, pull together something (semi-)functional, and having fun all the while.",Technical Learning Resources
99,13,GCP,1-day,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,4. Expert - I am able to tune and deploy GenAI models,4. Expert - I am able to tune and deploy GenAI models.,,A great chance to be involved in creative problem solving and working with an extended team,Team Formation and Dynamics
100,14,Azure,1-day,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"It's a good experience, however, it could be executed even better.",
101,15,,Neither - We didn't join in the end,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,Depends on workload but the learning opportunities were great,Time Commitment / Workload
102,16,GCP,3-day,Live technical Google / Azure session;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,Google training provided by Dan was so great!,Technical Learning Resources
103,17,GCP,3-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"The hackathon was fantastic, the only downside was the large overhead in preparation if taking a coordinating role within a team.",Team Formation and Dynamics
104,18,GCP,1-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,Many learning sessions were provided which was excellent.,Technical Learning Resources
105,19,GCP,3-day,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,,"The idea generation and drive for technical learning across the company was a great thing to be a part of. The hackathon and gen ai were often lunch time topics of conversation which was a great way of engaging and learning. In the lead up to the day and during the hack it was great to brainstorm with my team, come up with new ideas and be able to test them out in a very hands on way, as well as to have the support of mentors and others in getting to a good technical outcome.",Team Formation and Dynamics
106,20,Azure,3-day,Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,,"I am not technical, and so this was a great opportunity to learn more and collaborate with our technical teams",Team Formation and Dynamics
107,21,GCP,3-day hackathon,Neither;,0. No idea about it,0. No idea about it,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role","I personally didn't have the capacity to do any of the technical training, and my role in my hackathon team did not involve directly coding, but I nevertheless found the experience valuable in increasing my high level understanding of the technology and its limitations. I also heard from other team members who were more hands on that they learnt a huge amount through the process, hence my rating above. The only reason I didn't give it a higher score is because it was difficult to make the time around my day job, and I therefore had to catch up on work in my own time.",Time Commitment / Workload
108,22,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
109,23,GCP,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",Very fun being able to flex creative problem solving skills with like minded people,Team Formation and Dynamics
110,24,GCP,1-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"Well organised, learning sessions, mentoring",
111,25,Azure,1-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"Very well organized Hackathon with lots of support in terms of training sessions, sandbox env and dedicated time. Probably the best Hackathon hosted in Q till now!
The only reason I have not given full 10 points is the timing - since the Hackathon happened right after the close of FY with a lot of Hackathon planning happening during the end of FY which was also a very busy time for many team members (esp Leads) who were wrapping up projects close to FY and doing the performance review on top and hence could not spare a lot of time for Hackathon. ",Time Commitment / Workload
112,26,Azure,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,"Learning sessions and sparq sessions
Good break from BAU work
Hackathons are generally fun",
113,27,GCP,1-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
114,28,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role","A fun project, ",
115,29,Neither - I didn't hack,None of the above; observer,,,,,,,Would help for much more explanation regarding AI for the non technical amongst us. Didn't feel I could join when I am in a role / have no experience of the basics of AI / Chatbox etc,Accessibility and Inclusion
116,30,Azure,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,4. Expert - I am able to tune and deploy GenAI models.,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,Learning sessions helped us to have a good understanding of the various technologies used in the Hackathon. I learnt a lot within a short space of time in order to prepare for the hackathon. I would not have learnt this in my daily work.,Technical Learning Resources
117,31,Azure,1-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"Great training, high spaced, inclusive",Accessibility and Inclusion
118,32,GCP,1-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
119,33,Neither - I didn't hack,None of the above; observer,,,,,,,I missed out as I was on leave when the learning sessions were on so I would love to be a part of it next time,
120,34,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
121,35,GCP,3-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,Learning sessions were great and google resources were very helpful.,Technical Learning Resources
122,36,GCP,3-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,Good to have other Quantium people all taking about and working on and learning a new area that will be relevant to our work - defintiely felt like a fast way to learn practical skills. Only negative is the demand on working hours time.,Time Commitment / Workload
123,37,Azure,3-day hackathon,Neither;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,It was a fun environment to learn new skills from our technical team members and work collaborative together as one team.,Team Formation and Dynamics
124,38,Neither - I didn't hack,None of the above; observer,,,,,,,There was great feedback from participants of the Hackathon. Watching the showcases I definitely felt a bit of 'FOMO' so next time will look to participate!,
125,39,Neither - I didn't hack,Technical learning session(s) only,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
126,40,GCP,3-day hackathon,Neither;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
127,41,GCP,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
128,42,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",The hackathon felt too broad which made it difficult to find a use case - I think if the hackathon was more focused that would make it more engaging ,Application to Business / Use Cases
129,43,Neither - I didn't hack,None of the above; observer,,,,,,,It was a great challenge and learning experience for those that hacked. Great exposure to the commercial side of the business and what our leaders are thinking about,Application to Business / Use Cases
130,44,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"was good and really well done. Although, needed more info around the learnings. It was quite difficult to understand what was available and through which platform. I got a few emails showing how to log onto GCP (from googl,e quantium and kasna) but none of them worked and when i got in there was no clear documentation on where the training was. ",Communication and Information Sharing
131,45,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
132,46,GCP,3-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,0. Very little or no idea about GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"I hope Qs hackathons continue in the theme of this one, which was - ""there is an emerging technology - let's try it out in a safe but business relevant environment"".  This hasn't been something evident in prior hackathons.  A secondary, but also great theme which I hope is continued into future hackathons is - ""the good way to learn something new is an intensive project on it"".",
133,47,GCP,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,"Great resources to explore new idea, to learn how to use new tools, and the opportunity to chat and learn from external experts from our partners. However the communication could be done better. ",Communication and Information Sharing
134,48,Azure,1-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,Data issue (see next answer),
135,49,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
136,50,Neither - I didn't hack,None of the above; observer,,,,,,,"I feel like the team contributed too much time. The time commitment was not pre-signalled - usually hackathons only cost us a day, maybe 2.",Time Commitment / Workload
137,51,GCP,3-day hackathon,Neither;,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I can understand the basic cloud concepts and terminologies ,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
138,52,GCP,1-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
139,53,GCP,1-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,3. Advanced -  I can design and implement valuable and scalable architectures with cloud service ,3. Advanced -  I understand the tuning of standard GenAI models,4. Expert - I am able to tune and deploy GenAI models.,Somewhat - There is some relevance but not linked directly,,
140,54,GCP,1-day hackathon,Live technical Google / Azure session;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
141,55,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,1. Beginner - I can understand the basic cloud concepts and terminologies ,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,Really enjoyed the experience - the time commitment outside of work hours was more than I was expecting,Time Commitment / Workload
142,56,GCP,3-day hackathon,Live technical Google / Azure session;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"Overall a good experience. Trying to condense 3 days (and likely much more than 3 days) of work to 4 slides and 5 min is too restrictive. I understand time restrictions as there are a lot of teams, but perhaps holding 1-day and 3-day presentations on separate days makes more sense, and giving 3-day teams more time, 10 min / 6 slides etc. would be better.",Showcase / Presentation Format
143,57,GCP,1-day hackathon,Recording or self-paced Google / Azure training;,0. No idea about it,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,1. Beginner - I developed some understanding of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
144,58,GCP,1-day hackathon,Neither;,0. No idea about it,0. No idea about it,0. Very little or no idea about GenAI models,1. Beginner - I developed some understanding of standard GenAI models,"None - It was simply good fun, or an interesting academic exercise without direct relevance to my role",,
145,59,Neither - I didn't hack,Technical learning session(s) only,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,1. Beginner - I can understand the basic cloud concepts and terminologies ,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
146,60,GCP,None of the above; observer,,,,,,,"Having been a mentor last time, I'd be interested in leading a team next time.",
147,61,GCP,1-day hackathon,Recording or self-paced Google / Azure training;Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,"Learn plenty, get to work with a very different team and try some new things",Technical Learning Resources
148,62,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,3. Advanced -  I understand the tuning of standard GenAI models,3. Advanced -  I understand the tuning of standard GenAI models,Somewhat - There is some relevance but not linked directly,,
149,63,Azure,1-day hackathon,Live technical Google / Azure session;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I am comfortable using standard GenAI models for specific tasks ,3. Advanced -  I understand the tuning of standard GenAI models,Considerable - My new skills or learnings acquired feel immediately relevant to problem solving in my role,,
150,64,Azure,1-day hackathon,Live technical Google / Azure session;Recording or self-paced Google / Azure training;,2. Intermediate - I can utilize software development kits provided by the cloud platform,2. Intermediate - I can utilize software development kits provided by the cloud platform,1. Beginner - I developed some understanding of standard GenAI models,2. Intermediate - I am comfortable using standard GenAI models for specific tasks,Somewhat - There is some relevance but not linked directly,,
